ax (m/s^2),ay (m/s^2),az (m/s^2)
0.0077,-0.0806,-0.0016
-0.0015,-0.043,-0.0256
-0.0008,-0.0279,-0.0358
-0.0201,-0.0077,-0.0311
-0.0102,0.0025,-0.0024
0.009,-0.0157,0.0023
0.0183,-0.0017,0.0167
0.0035,0.0022,-0.0024
0.018,-0.0554,0.0605
0.0246,-0.0307,-0.141
-0.0032,-0.0261,-0.1218
-0.0318,-0.0148,-0.0261
-0.027,-0.0136,-0.0023
0.0199,-0.0267,0.0318
0.0284,-0.027,0.0509
0.0381,-0.0429,0.0319
0.0096,-0.0454,-0.0254
-0.0188,-0.0421,-0.0444
-0.0191,-0.0475,-0.0252
-0.0151,-0.0522,-0.0252
-0.0102,-0.0372,-0.0396
-0.0004,-0.0314,-0.0541
-0.019,-0.0302,-0.0111
0.0001,-0.0196,0.0224
0.0009,-0.02,-0.0015
0.0152,-0.0117,-0.0302
0.0054,-0.0168,-0.011
0.0046,-0.0074,-0.0068
0.01,-0.0171,-0.011
0.0007,-0.0268,-0.0211
0.0059,-0.0313,-0.0115
0.0111,-0.0319,-0.0061
0.0065,-0.0381,-0.03
-0.003,-0.034,-0.0496
-0.003,-0.0436,-0.049
0.0011,-0.0332,0.0126
-0.0042,-0.0335,0.0563
-0.0084,-0.0354,-0.0112
-0.0079,-0.0366,-0.0303
-0.0225,-0.0278,0.0513
-0.0025,-0.0347,0.0036
0.0332,0.0003,-0.207
-0.0095,-0.0262,-0.0108
-0.0199,-0.0529,0.0807
-0.0067,-0.045,-0.1108
0.0158,-0.0197,-0.1732
0.0199,0.0039,-0.0059
-0.0005,0.0166,0.0699
-0.0059,0.0281,0.0601
0.023,-0.0189,0.0032
0.0081,-0.0288,-0.0543
0.0028,-0.0571,-0.04
-0.026,-0.0608,0.0079
-0.0261,-0.0559,0.0127
-0.0265,-0.0657,0.0175
-0.0033,-0.052,0.0128
0.0107,-0.0573,-0.0105
-0.0082,-0.0487,-0.0351
-0.0169,-0.0151,-0.0399
-0.0162,0.0095,-0.0256
-0.002,0.0246,-0.0119
0.0085,0.0063,0.0127
0.0133,0.0105,0.0079
-0.0017,-0.019,0.0702
0.0379,-0.0547,0.0279
0.0391,-0.0292,-0.1592
-0.0175,-0.0479,-0.0539
-0.0265,-0.0186,-0.0348
-0.0218,-0.0178,-0.0013
0.0253,-0.0267,0.013
0.0347,-0.0225,0.0227
0.0398,-0.0477,0.0323
-0.0076,-0.035,-0.001
-0.0221,-0.0416,-0.0153
-0.0178,-0.0233,-0.0302
-0.018,-0.0284,-0.0254
-0.0033,-0.0282,-0.0589
0.002,-0.0179,-0.0446
0.0076,-0.0211,-0.001
-0.0069,-0.0206,0.0223
-0.0114,-0.0072,-0.0016
-0.0012,-0.0077,-0.0351
-0.0066,-0.0035,-0.0159
0.0123,0.0011,-0.0015
-0.0019,-0.0176,0.0033
-0.0016,-0.0043,-0.011
0.0041,-0.0288,-0.0152
-0.0004,-0.0389,-0.0199
-0.0003,-0.0346,-0.0199
0.0044,-0.0402,-0.0102
-0.0001,-0.0364,-0.0149
-0.0147,-0.0279,-0.0106
0.0055,-0.029,-0.0201
0.0055,-0.0203,-0.0009
-0.0033,-0.0211,-0.0104
0.0019,-0.0122,-0.0295
-0.0019,-0.0075,-0.063
-0.0069,-0.0169,-0.0103
-0.0022,-0.0214,0.0759
-0.0022,-0.0189,0.009
-0.0019,-0.0159,-0.0585
-0.0158,-0.0218,0.0045
-0.0005,-0.028,0.0046
0.0302,-0.0014,-0.1587
-0.0076,-0.033,0.0046
-0.0316,-0.051,0.0476
-0.0088,-0.0566,-0.1104
0.0137,-0.0404,-0.1824
0.0075,-0.0162,-0.0248
-0.0025,0.0214,0.0462
0.0114,0.029,0.0603
0.0205,-0.0033,0.0129
0.0255,-0.023,-0.0344
